trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	framewise_displacement	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	csf	white_matter
-4.653390000000000521e-05	1.096990000000000048e-01	2.602150000000000150e-05	8.358400000000000205e-04	-9.402269999999999682e-04	-3.454030000000000403e-04	0.000000000000000000e+00	-3.572529450000000439e-02	-7.731478929999999195e-02	5.477619100000000012e-03	-3.793968200000000061e-03	3.782884680000000305e-02	-1.159397244999999937e-01	5.571255476973676650e+02	5.500105778900833684e+02
-1.329270000000000278e-02	8.069569999999998133e-02	2.713099999999999824e-05	9.152230000000000565e-04	-8.495439999999999285e-04	-4.264269999999999476e-04	5.480507559999999584e-02	8.075662890000000205e-02	-1.280479850000000065e-02	8.063938569999999639e-02	-4.660299219999999853e-02	-2.425737660000000170e-02	-1.223875152999999993e-01	5.557366138955642327e+02	5.501176752112414761e+02
-7.913309999999996916e-05	2.215260000000000284e-01	1.140379999999999947e-04	1.677299999999999950e-04	-8.495439999999999285e-04	-7.267110000000001103e-04	2.065196239000000600e-01	-5.735721989999999909e-02	-1.409771370000000371e-02	-3.041356549999999978e-02	3.408444590000000302e-02	-8.958881929999999716e-02	8.780859000000000233e-03	5.593555547737551024e+02	5.504316353692337316e+02
8.214070000000000399e-03	-1.735369999999999968e-02	2.665280000000000080e-02	5.043600000000000297e-04	-1.099649999999999976e-03	-4.264269999999999476e-04	3.180626651000000304e-01	-3.546676080000000369e-02	-3.104797700000000091e-03	-2.503375320000000154e-02	2.018773780000000101e-02	1.142086707000000007e-01	-1.155678608000000052e-01	5.612011562062538133e+02	5.507822876553374272e+02
-7.841439999999999923e-05	1.145990000000000064e-01	5.102540000000000027e-03	4.859280000000000001e-05	-1.277619999999999928e-03	-9.384649999999999806e-04	2.190842044000000099e-01	2.116242520000000127e-02	7.055748750000000180e-02	1.188875359999999951e-02	2.593245829999999905e-02	-5.892394890000000190e-02	-8.042382010000000137e-02	5.562596478868971417e+02	5.512452009721032482e+02
4.356430000000000025e-02	3.254190000000000554e-02	1.048550000000000003e-02	6.158959999999999999e-04	-1.832740000000000020e-03	-5.119130000000000165e-04	2.085315344000000237e-01	-2.335380709999999860e-02	6.832692629999999323e-02	-1.277969760000000066e-02	5.514660030000000102e-02	7.627101199999999914e-02	-3.882923709999999695e-02	5.585620792150317584e+02	5.515038167564357536e+02
-1.283390000000000052e-02	9.750910000000000133e-02	2.612450000000000189e-02	6.192889999999999723e-04	-1.676449999999999902e-03	-4.689800000000000262e-04	1.471352000000000215e-01	3.847243799999999769e-02	1.203214229999999968e-02	7.816597700000000454e-03	1.853326070000000172e-02	8.237486400000000597e-03	-6.015201450000000338e-02	5.557174125442794548e+02	5.506581269223242998e+02
-2.635509999999999936e-02	1.940390000000000170e-01	4.564559999999999451e-02	7.892189999999998581e-04	-1.055149999999999925e-03	-8.653839999999998582e-04	1.889539000000000080e-01	-2.540518660000000081e-02	-8.633234019999999620e-02	-5.005857920000000155e-02	3.670797630000000034e-02	-7.787489269999998964e-02	3.378530279999999997e-02	5.557252012614203522e+02	5.499313182592650264e+02
1.395860000000000156e-02	1.261909999999999976e-01	1.457760000000000132e-02	7.208199999999997292e-04	-1.055149999999999925e-03	-9.384639999999999649e-04	1.463036500000000073e-01	-4.516176799999999797e-02	-6.018864110000000239e-02	-4.908132619999999724e-02	-5.475328759999999878e-02	-3.788412000000000116e-03	-1.522435429000000007e-01	5.585251368969263694e+02	5.502407601714413659e+02
1.868449999999999972e-02	-4.438750000000000334e-02	-2.287059999999999788e-02	1.950340000000000060e-03	-9.973189999999999833e-04	-8.542099999999999953e-04	2.813328500000000232e-01	1.017184240000000017e-01	-1.749775120000000156e-02	1.486807891999999964e-01	-1.034032893000000064e-01	-7.715832599999999930e-03	-1.436717090000000016e-02	5.559979145379767260e+02	5.502249711366112024e+02
