csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
525.9187792883587	499.7102285084344	557.3997801468729	0.0	0.0	0.0	-0.0809607833	-0.00386281	-0.0027035123	0.0203217634	-0.0154374928	0.1101541705	-0.0391846953	0.061612621	0.0471843591	-0.055951969	0.008456196	-0.0992727139	0.1091041759	0.1090898686	0.1090660245	0.1090326458	5.6447700000000005e-05	-0.0141249	0.0692129	-3.5317399999999995e-05	-5.5273100000000004e-05	-0.00041068699999999997
523.2511811511744	499.30935115479514	557.0366833894461	0.8023449999999999	16.781570000000002	0.042398977300000015	-0.0626911124	0.056148769800000005	-0.0613927	-0.0135206953	-0.0371090432	0.0836773707	0.0093058058	0.0802114408	-0.0504539212	-0.0395088428	0.0051734639	-0.0436755002	0.1090660245	0.1089372966	0.1087228625	0.108422891	0.00435947	-0.00528537	0.0714985	-0.000155608	-0.0	-4.68342e-05
525.2648937156815	499.8410346663344	558.4922775387569	0.872866	18.25655	0.049901439999999984	-0.0195404882	0.0217001591	0.0110615006	0.0257754953	-0.0192941694	0.0272498492	0.0056407134	0.0310771056	0.014065784	-0.0468735252	-0.0034028057	0.0800282792	0.1089897352	0.1086323659	0.1080376181	0.1072067914	-0.00481635	-0.036310300000000004	0.0736171	-0.00021181900000000003	-0.0	-0.000142265
526.9197299110947	499.9989541906096	558.1444424127449	0.8891889999999999	18.597967	0.0378035598	-0.0435039518	-0.0388716377	0.0397045856	-0.028319098	0.0311502774	0.0347836853	-0.0472994766	0.0206482312	0.0271286731	-0.0321577858	-0.0354010986	-0.0589898758	0.1088753345	0.108175503	0.1070124473	0.105391148	2.05098e-05	-0.008502249999999998	0.07361529999999998	-0.00013518799999999998	-0.0	-0.000168771
523.2705407635001	499.81330833764486	556.8390472198137	0.901745	18.860582	0.06939686440000001	-0.07494211349999999	0.0009932075999999998	-0.0578630376	-0.0384691134	-0.0001146079	-0.0375690501	-0.0514302749	0.042282036900000014	-0.031636196299999995	0.0116844401	-0.037215044700000005	-0.109654437	0.1087228625	0.1075673469	0.1056505759	0.1029861145	3.1004200000000004e-05	0.00440107	0.11190399999999999	-0.000485853	-0.0	-0.000181993
522.9804985715643	499.6398604347375	557.1606080013886	0.89605	18.74147	0.0865582358	-0.0268373026	0.0474502647	-0.1033608065	-0.022152353	-0.14215159019999998	-0.0261720714	0.003947526	0.0539609843	-0.090770812	-0.0062068054	0.0293970862	0.034636605099999995	0.1085323724	0.1068087481	0.1039562886	0.1000051409	0.00358157	-0.0527626	0.0991868	-0.000519695	4.4526800000000004e-23	-0.00041068699999999997
525.0873328268751	499.8477976838704	557.7728203485418	0.9134049999999999	19.104457999999997	0.05535446840000001	-0.0207384953	0.050161135700000005	0.0012298999	-0.0122866069	-0.0297678629	0.0091207201	0.0383432556	0.0325489616	0.0147708365	0.0094477729	0.000950366	0.0365795262	0.108303931	0.1059007676	0.1019349164	0.0964648979	4.44516e-05	-0.0236215	0.08413330000000001	-0.00045291099999999996	1.76192e-23	-0.00032501599999999997
525.003050070184	499.6775576170752	559.0212956928102	0.928853	19.427563	0.06303416839999998	-0.006846583000000001	0.0394360918	0.0384526122	0.057402989	0.1269320575	-0.0320049868	0.0451417827	0.0018011834	0.0236616459	0.0087844525	0.0107581293	-0.0235792609	0.1080376181	0.1048446753	0.0995928192	0.0923851842	0.00620571	-0.00382569	0.0840922	-0.000646952	0.000364361	-0.000142698
527.4824493093648	500.20505255279915	560.0025307577728	0.9051600000000001	18.931993	0.06222600819999999	0.0264271158	-0.0065211117	0.0472125216	0.0322148181	0.1143449246	-0.0324794089	0.0248875117	-0.0277950215	0.01982498	0.0309224111	0.0206399376	0.0017462023000000002	0.1077335267	0.1036419483	0.0969373661	0.087788815	2.8411799999999998e-05	0.00462787	0.100461	-0.000981319	0.000176556	-4.0343e-05
526.1132749491591	500.0458049435092	559.9048715625297	0.8477909999999999	17.732085999999995	0.1036878282	0.0073436386	-0.0191357718	-0.0127010941	-0.0052048955	-0.0080396334	-0.0140607683	-0.0013356469	0.0048856396	-0.030722238	0.016774616699999998	0.0092998516	0.0796929334	0.1073917633	0.1022942687	0.0939769123	0.0827014951	0.00259527	-0.0470754	0.12325	-0.0007675710000000001	0.000283258	-0.00025246700000000003
528.3652476314215	500.2215821032116	559.3041849301833	0.9777969999999999	20.45126	0.0687821351	-0.011704784	-0.0212276023	0.0908314383	-0.009339957	-2.20212e-05	0.0244856378	-0.0158077301	-0.0018528229	0.0774558363	0.002808271	-0.0739301091	0.0533615039	0.1070124473	0.1008035212	0.0907207723	0.077151675	4.26349e-05	-0.0064253	0.12184900000000005	-0.0009076619999999999	-0.0	-0.00019224799999999998
525.0210017107044	499.5845303698213	558.6283033614733	0.9755440000000001	20.404139	0.012779376099999995	-0.0196178458	0.0204319928	-0.0106825426	-0.0142874736	-0.0628407976	0.0082439281	0.0103847738	0.0285680312	0.0238192279	0.0256723639	-0.0371514303	-0.0825795493	0.1065957114	0.0991717909	0.08717919119999999	0.07117039139999999	1.72588e-05	-0.0105279	0.120217	-0.000989422	-0.0	-0.00013362
525.551689750399	499.95837608539404	559.8299959646455	0.94729	19.813185	0.0277218212	0.0444529817	0.0442096158	-0.0738659577	-0.0051715987	-0.0552595633	-0.0511121577	0.0522125801	-0.034323965299999995	-0.05748279200000001	0.0352527982	0.0245512402	-0.0696095141	0.1061417014	0.0974013599	0.0833633121	0.06479109400000001	0.00923342	-0.00528169	0.112696	-0.00105247	-0.0	-0.00018534099999999997
525.2333707913692	499.91111669095125	560.3703344954412	1.091569	22.830875	0.09853793575999996	0.0137064118	0.0353417686	-0.003387823	-0.0692250996	0.0427824164	-0.0293472961	0.0363367244	-0.0347421741	-0.0669954423	0.0417281865	-0.0536763774	0.1072400857	0.1056505759	0.0954947043	0.0792851412	0.05804945860000001	-4.290759999999999e-06	-0.034230699999999996	0.123498	-0.00150765	-0.000259902	9.05613e-05
526.5473604788643	499.5462815214008	559.8952962159625	1.225386	25.629726	0.22699425424000003	0.0101027816	0.0376910398	0.1358233743	-0.0159096275	-0.0265979099	-0.0597957456	0.029368722200000006	-0.0043421241	0.0896272375	0.1409124241	-0.12762790470000002	0.096695199	0.1051225066	0.0934544907	0.0749575099	0.0509831871	-0.008194659999999998	-0.00833568	0.21416500000000002	-0.00284277	-0.0006780169999999999	-0.00020104099999999997
524.9188455341488	499.5431349815199	560.4234099210842	1.445714	30.238041	0.413975895	0.06632248589999999	0.0522431137	-0.0020747945	0.0092071477	-0.062951752	-0.0324881335	0.0631094545	-0.0384231762	0.013484546399999998	0.0488861695	0.0100663573	-0.027042616	0.1045576784	0.0912835726	0.07039403450000001	0.043631796900000006	0.00693098	-0.0432299	0.0254294	6.760470000000001e-05	-0.000293629	-0.00041068699999999997
527.4740405888597	500.5137403743476	564.1835825232803	1.315458	27.513657000000002	0.089510645	0.1616370629	0.0687402387	-0.1241861105	0.000275815	-0.06982271820000001	-0.0162676426	0.1092327032	-0.1155411401	-0.1167890935	0.0114308739	0.15245809970000002	-0.0845455524	0.1039562886	0.0889849861	0.06560907349999999	0.0360364	-0.007839759999999998	-0.0384264	-0.0165562	-0.00016429400000000002	3.34884e-05	-0.00041068699999999997
529.8894162212175	502.2917397277463	567.0681826329912	1.359879	28.442753000000003	0.062519198	0.2091494254	-0.0264426175	0.0520069859	-0.005282046899999999	0.0099443837	-0.0145507696	-0.0003517955	-0.2465701847	0.0063999845	0.0100829567	0.1113955835	0.0917337166	0.1033185475	0.0865619461	0.0606176821	0.028239473	0.00025680799999999997	-0.026559100000000002	-0.030113499999999998	-0.00043751699999999995	0.000217087	-0.000287548
532.0708729822204	501.0163490401055	563.6773136291092	1.388953	29.050852000000003	0.129898312	0.05977446400000001	-0.1792273812	0.1076043253	0.0053284082	0.046188401	0.1119569327	-0.1161992641	-0.1266030826	0.0411335494	-0.08658277660000001	0.0398712609	0.0692129108	0.1026446782	0.0840178413	0.055435565	0.0202846193	0.00451932	0.0460946	-0.012248899999999998	0.00025687	0.000217087	-0.000295511
528.0624554725804	499.8490440405763	559.0224933837246	1.4440469999999999	30.203160999999998	0.10144855	-0.0870844897	-0.139709907	0.028782674900000006	-0.0104267274	-0.093391006	0.036144419	-0.13862233289999998	0.0319722934	0.055570910300000005	-0.0759106275	-0.0250522378	0.0344431223	0.1019349164	0.08135623	0.0500790271	0.0122163259	0.00620011	0.00311099	0.0175704	0.00030565599999999996	-0.00017726	-0.000199347
523.5367647657258	499.46193790693474	558.0654971380368	1.210676	25.322067	0.061007019	-0.0479714668	-0.0006186634999999999	-0.00029162400000000004	-0.0295899276	0.05216564	0.0105818524	-0.0413895499	0.0447803417	-0.008535607800000001	-0.0452362107	-0.0387299201	-0.08209798559999999	0.10118951	0.07858083469999999	0.044564922	0.0040797138	0.000248566	-0.00170255	0.00285956	0.00013349700000000005	0.00014872	1.3135899999999999e-05
523.5651979741317	498.67301454410506	559.2078381129954	1.020061	21.335228	0.12956796899999998	0.0008779932	0.0125661742	-0.0672230869	0.0471111784	-0.018872597	0.0238050362	0.0500066578	0.0696171412	-0.030850653	-0.0392151302	0.031384039	0.0033472447	0.10040872	0.07569553700000001	0.0389105992	-0.0040797138	0.00891926	-0.06308430000000001	0.00342329	-0.00019591700000000001	-0.000277079	-0.00041068699999999997
