trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	framewise_displacement	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	csf	white_matter
-1.612879999999999522e-02	-4.573380000000000500e-02	-1.080000000000000127e-01	8.332939999999999401e-04	-0.000000000000000000e+00	-5.736369999999999967e-04	0.000000000000000000e+00	-2.961357150000000146e-02	-1.425826099999999950e-02	3.820097780000000082e-02	-5.592784150000000565e-02	5.410444159999999725e-02	-1.490090632000000137e-01	5.351473485299770800e+02	4.461680917148729577e+02
-5.383940000000000253e-03	-1.991049999999999764e-02	-7.081980000000000219e-02	1.694619999999999981e-03	3.562190000000000126e-04	-4.353890000000000017e-04	1.415380099999999919e-01	9.546995600000000165e-03	-2.004764309999999827e-02	1.641660860000000027e-02	-6.649767900000000745e-03	-2.339959839999999902e-02	2.014502639999999831e-02	5.335059464966549285e+02	4.458517443855369606e+02
-1.792940000000000159e-02	-5.245509999999999062e-02	-6.098200000000000842e-02	1.719929999999999940e-03	3.091109999999999886e-04	-4.191219999999999625e-04	5.936210999999998877e-02	-1.479467639999999980e-02	6.291484549999999676e-02	-5.272389090000000056e-02	-7.885222809999999083e-02	-1.794628999999999626e-03	-4.891961780000000232e-02	5.353690042335496173e+02	4.454918195835282404e+02
-9.065020000000000022e-03	-2.364350000000000132e-02	-5.401359999999999495e-02	8.463350000000000343e-04	6.101780000000000658e-04	-3.659409999999999985e-04	1.060365300000000038e-01	8.245822499999999611e-03	-1.502859890000000052e-02	-2.897871740000000640e-02	2.806171949999999859e-02	1.557710240000000079e-02	-2.032154200000000147e-02	5.341841994222122594e+02	4.455865112092915865e+02
-3.461319999999999935e-03	-4.579509999999999831e-02	-3.211100000000000065e-02	8.437769999999999819e-04	6.101780000000000658e-04	-2.516509999999999797e-04	5.550030000000000241e-02	3.069508099999999906e-03	-7.803989679999999429e-02	6.599611560000000210e-02	4.232919899999999791e-03	-2.142622129999999930e-02	-8.717676909999999557e-02	5.340050100140712175e+02	4.451471613905711138e+02
-3.445639999999999814e-03	-3.515490000000000281e-02	-1.347210000000000074e-02	9.461219999999999786e-04	6.101780000000000658e-04	-1.714940000000000084e-04	3.841987999999999653e-02	4.239622309999999811e-02	5.783349430000000319e-02	-1.896796010000000032e-02	4.538219329999999829e-02	-2.802736410000000039e-02	6.296814530000000021e-02	5.339930286246889182e+02	4.458476861730041492e+02
-7.823840000000000308e-03	-6.952780000000000071e-02	-7.809969999999999413e-02	1.068649999999999982e-03	1.547220000000000138e-04	-3.067929999999999746e-04	1.390428499999999956e-01	-3.500102490000000371e-02	1.817288339999999919e-02	-2.073055810000000096e-02	-1.844593599999999958e-02	2.407397940000000069e-02	-1.051594408999999980e-01	5.349458389529060014e+02	4.464606695136602639e+02
-9.753369999999999488e-04	-2.300349999999999888e-04	-9.728989999999998473e-02	1.397570000000000106e-03	-5.076699999999999692e-05	-3.931399999999999934e-04	1.263742680000000118e-01	-3.978083279999999888e-02	-9.737377540000000109e-02	8.193047120000000738e-02	1.059564679999999981e-01	1.372856499999999943e-03	-6.149868900000000048e-03	5.342950755860524623e+02	4.469846620509204058e+02
-7.757090000000000339e-03	-8.493069999999997011e-02	-8.539399999999996993e-02	1.377050000000000106e-03	-4.403429999999999953e-05	-4.841749999999999917e-04	1.092927030000000049e-01	-4.957937379999999977e-02	6.352704269999999431e-02	-2.988800600000000168e-02	4.616174800000000071e-03	-3.554025790000000379e-02	9.481328340000000354e-02	5.354476079453439752e+02	4.466823252172329717e+02
-6.983890000000000410e-03	-2.086750000000000063e-02	-9.805739999999998902e-02	1.969230000000000199e-03	-3.286419999999999749e-04	-3.865089999999999954e-04	1.262224849999999954e-01	-3.852776200000000099e-03	2.586910640000000122e-02	-2.656397460000000169e-02	1.047385051999999983e-01	5.633237519999998583e-02	4.813997390000000071e-02	5.347197868524228852e+02	4.466454148080068194e+02
-1.616989999999999747e-02	-6.274520000000000097e-02	-8.490489999999999149e-02	1.273150000000000020e-03	-2.553240000000000240e-04	-6.004569999999999873e-04	1.133835100000000068e-01	-3.258268119999999796e-02	2.103375999999999900e-04	-7.070922299999999987e-03	-6.769961800000000827e-03	4.902008969999999827e-02	-6.565896200000000127e-02	5.356737566699351873e+02	4.461358192628272263e+02
1.359180000000000110e-02	1.569319999999999916e-03	-1.268180000000000140e-01	2.925450000000000012e-03	-7.800609999999997537e-04	-2.935850000000000157e-04	2.601847699999999541e-01	-4.452210610000000013e-02	-7.850586839999999789e-02	4.446263760000000037e-02	3.302662890000000045e-02	2.299419660000000254e-02	3.398947220000000241e-02	5.322769844679972948e+02	4.461882861534286349e+02
-3.431580000000000047e-03	-1.003620000000000068e-01	-8.585189999999998101e-02	1.759090000000000046e-03	-6.115369999999999964e-04	-3.285799999999999745e-04	2.284147499999999442e-01	-1.621841889999999994e-02	9.791559090000000187e-02	-6.318291570000000856e-02	1.280999770000000072e-02	-4.557467040000000302e-02	3.445013859999999928e-02	5.331038452715382618e+02	4.458208246710019580e+02
-3.438570000000000168e-03	-1.486699999999999827e-02	-1.720170000000000032e-01	2.913320000000000059e-03	-6.974649999999999773e-04	-2.197340000000000209e-04	2.391172900000000379e-01	-4.827035190000000114e-02	1.809420249999999994e-02	-2.449751069999999906e-02	1.266518167000000028e-01	3.893202419999999830e-02	-3.760816060000000266e-02	5.335588481957421436e+02	4.466309211918185156e+02
-3.479310000000000215e-03	-5.242869999999999475e-02	-1.448969999999999980e-01	3.390429999999999833e-03	-1.032069999999999949e-03	-2.743709999999999791e-04	1.080400400000000039e-01	-8.342435650000000480e-02	-7.441250169999999442e-02	4.096632719999999950e-02	9.682309999999999799e-05	-2.865373640000000097e-02	1.095208860000000152e-02	5.329499713796727747e+02	4.454675669324398086e+02
-1.255739999999999981e-02	-5.574529999999999763e-02	-1.023840000000000028e-01	1.747679999999999937e-03	-3.472409999999999776e-04	-2.203499999999999892e-04	1.739876900000000004e-01	-3.939978360000000179e-02	8.508481960000001398e-02	-3.257503870000000301e-02	3.479312899999999903e-02	-1.360599019999999930e-02	7.707607980000000247e-02	5.330438417005187830e+02	4.459867282643037925e+02
-3.494280000000000216e-03	-5.845519999999999883e-02	-9.854910000000001447e-02	2.184779999999999882e-03	-4.027480000000000274e-04	-3.456040000000000067e-04	4.650097000000000258e-02	-6.754129720000000281e-02	3.579228970000000037e-02	-4.839396120000000190e-02	-5.495369209999999977e-02	-4.458157600000000123e-03	4.924554460000000328e-02	5.323502255418019331e+02	4.456685450769172121e+02
-3.464089999999999964e-03	-2.836510000000000073e-02	-9.071310000000000484e-02	1.624779999999999931e-03	-3.521619999999999581e-06	-1.693540000000000052e-04	9.473010899999997902e-02	-2.700983410000000126e-02	-2.619742229999999852e-02	2.455124499999999932e-02	7.760281139999999911e-02	2.386325549999999962e-02	-4.072238780000000252e-02	5.320151331355291404e+02	4.459581275283588297e+02
-9.574499999999999678e-03	-6.840100000000000346e-02	-7.100869999999999405e-02	1.410709999999999915e-03	8.845019999999998198e-05	-1.978369999999999966e-04	8.257695100000000954e-02	-5.804197360000001166e-02	-4.545911460000000293e-02	1.460252339999999933e-02	-5.024827130000000114e-02	-7.706601889999999122e-02	9.133966670000000232e-02	5.312239266278112382e+02	4.450951776205091051e+02
-3.484779999999999822e-03	-5.071540000000000076e-02	-8.449389999999996903e-02	3.302209999999999868e-03	-3.986010000000000009e-04	-1.294479999999999980e-04	1.596075299999999419e-01	2.274479789999999876e-02	5.867499500000000062e-02	-5.340725699999999965e-02	5.691976400000001157e-02	2.162638299999999902e-02	4.649413499999999894e-02	5.297354322452755468e+02	4.455176182203433086e+02
6.479290000000000396e-03	4.054710000000000432e-03	-3.792000000000000232e-03	1.365170000000000077e-04	1.039440000000000334e-05	-1.959009999999999799e-04	3.274931500000000106e-01	-1.673274459999999839e-02	-6.185364300000000155e-03	-1.641197280000000064e-02	-7.779510370000000674e-02	-8.559581809999999846e-02	3.719460690000000319e-02	5.305701679136121811e+02	4.457552169017230881e+02
-5.822009999999999859e-03	-3.587440000000000073e-02	-2.745229999999999979e-03	7.931689999999999270e-04	8.873240000000000446e-05	-1.968959999999999797e-04	9.007642999999999900e-02	3.793800209999999978e-02	-4.501986589999999733e-02	2.508614990000000364e-02	2.296363720000000122e-02	3.229988410000000226e-02	1.024853740000000041e-02	5.291078103522693254e+02	4.459321356433279675e+02
-5.156399999999999352e-03	-6.818799999999999861e-02	-2.465430000000000052e-02	7.881000000000000201e-04	8.873240000000000446e-05	-3.456050000000000224e-04	6.257717999999999614e-02	4.768930200000000286e-03	-1.398848549999999989e-02	-1.709894409999999920e-02	-9.648852499999999166e-03	-7.109894230000000925e-02	1.852449940000000170e-02	5.312349900881683880e+02	4.455846753512410601e+02
-1.526549999999999956e-02	-5.826409999999999922e-02	-2.550200000000000036e-02	1.130879999999999906e-03	8.873240000000000446e-05	-3.456050000000000224e-04	3.801969999999999655e-02	2.162367100000000056e-02	4.042520069999999688e-02	-3.657974569999999925e-02	5.348818599999998619e-02	6.878432290000000005e-02	2.978550890000000034e-02	5.321401647311799934e+02	4.466346895320276076e+02
-3.083339999999999952e-03	-2.493889999999999996e-02	-5.196979999999999655e-02	7.292039999999998983e-04	2.310710000000000108e-05	-1.306450000000000070e-04	1.060882249999999943e-01	4.957213999999999935e-04	9.471079999999999451e-05	-2.465139560000000063e-02	-2.921533579999999880e-02	-2.451701120000000095e-02	-4.224359610000000265e-02	5.323164071040293948e+02	4.456045799174728472e+02
-1.234790000000000020e-02	2.211240000000000167e-03	1.108940000000000533e-04	4.569700000000000107e-04	1.472880000000000033e-04	-1.412529999999999840e-04	1.088465390000000060e-01	1.634854050000000142e-02	-5.681171370000000220e-02	4.936868639999998642e-02	-2.336105109999999860e-02	5.875350000000000017e-02	4.747310240000000153e-02	5.307385354216660289e+02	4.454366472179048060e+02
-5.808259999999999985e-03	-6.889230000000000353e-02	-3.378440000000000132e-04	1.172979999999999899e-03	8.873240000000000446e-05	1.305109999999999944e-05	1.245354030000000028e-01	2.583250109999999863e-02	9.638322089999999676e-02	-7.059875449999999941e-02	-1.456670753999999846e-01	-3.651932439999999724e-02	2.823034920000000100e-02	5.305690567363711807e+02	4.450009691152853293e+02
-2.326579999999999968e-02	-1.821410000000000043e-02	-3.874450000000000203e-03	3.698180000000000022e-04	8.873240000000000446e-05	-2.072579999999999865e-04	1.228459009999999935e-01	3.257894160000000122e-02	-5.738425700000000101e-02	3.512723569999999518e-02	-3.952361859999999755e-02	8.062519449999999699e-02	-6.822525749999999722e-02	5.285186931662699408e+02	4.451794338426169020e+02
-5.830479999999999864e-03	-6.502909999999999247e-02	1.441870000000000131e-02	4.981210000000000238e-04	2.619209999999999746e-04	1.147259999999999922e-05	1.085545799999999977e-01	2.568291970000000091e-02	-1.189928539999999917e-02	-3.687978220000000251e-02	-1.045775475000000065e-01	-1.778706622000000015e-01	8.280839599999999245e-02	5.302831460010303317e+02	4.449390330621073986e+02
-5.807559999999999806e-03	-8.337830000000000241e-02	-2.967480000000000204e-03	7.336610000000000353e-04	8.873240000000000446e-05	-1.265340000000000052e-04	6.309505999999999448e-02	3.343242870000000255e-02	4.253156770000000170e-02	-4.891587800000000465e-03	-3.506268600000000089e-03	1.603875368999999884e-01	-5.392123160000000109e-02	5.305289094195296684e+02	4.459302031611695156e+02
-5.820399999999999012e-03	-2.053670000000000148e-02	-2.961070000000000368e-02	3.637509999999999940e-04	8.873240000000000446e-05	-7.695930000000000701e-06	1.139350635000000028e-01	2.183147610000000030e-02	-4.118440550000000006e-02	-7.266608299999999590e-03	1.168999999999999988e-05	-9.944061730000000598e-02	-5.858649380000000018e-02	5.316872392252963664e+02	4.448095567574922029e+02
-1.102979999999999933e-02	-4.399639999999999801e-02	2.308440000000000145e-02	3.158759999999999823e-04	8.873240000000000446e-05	2.457780000000000040e-05	8.537163650000000048e-02	1.959649319999999875e-02	-5.276561870000000265e-02	7.162829730000000450e-02	-9.319614160000000425e-02	2.005172490000000154e-02	-8.778647599999999870e-03	5.312274534077504313e+02	4.455675728841388832e+02
-1.470800000000000059e-02	-5.340679999999999733e-02	3.991619999999999890e-02	-1.053779999999999929e-04	8.627950000000001308e-05	-1.732390000000000264e-04	6.099658499999999900e-02	7.004463400000000839e-02	8.232335470000000377e-02	-4.489952299999999674e-02	2.071061189999999844e-02	-2.568827320000000025e-02	7.472193900000000111e-02	5.313005012333393324e+02	4.453314235643778147e+02
-5.797130000000000165e-03	-6.525150000000000394e-02	6.457500000000000566e-03	6.033359999999999982e-04	1.595649999999999944e-04	-1.104000000000000136e-04	9.645619499999999458e-02	2.032365660000000004e-02	-1.857664779999999849e-02	2.969131350000000016e-02	-3.917055200000000084e-03	-1.236879050000000077e-02	-5.785975799999999725e-02	5.317657463129828557e+02	4.456932808485451574e+02
-5.111779999999999796e-03	9.370089999999999322e-03	-8.466619999999997620e-03	2.094390000000000119e-04	1.595649999999999944e-04	-1.594610000000000103e-04	1.123789600000000000e-01	2.294584850000000106e-02	-5.113872590000000107e-02	6.003605929999999979e-02	5.837769679999999656e-02	1.795775520000000153e-02	-1.645047930000000103e-02	5.319072040069804643e+02	4.458795721286184630e+02
-7.631709999999999883e-03	-1.018659999999999982e-01	1.814340000000000007e-03	1.413150000000000116e-04	1.595649999999999944e-04	-1.786769999999999971e-04	1.284039800000000009e-01	3.344269300000000250e-02	6.856346789999999414e-02	-1.431031479999999960e-02	-4.130961169999999849e-02	-6.388911590000000140e-02	4.242407079999999803e-02	5.327775456590862859e+02	4.457789864322717790e+02
-3.510959999999999602e-04	8.268939999999996848e-02	1.260100000000000109e-02	1.013070000000000111e-04	-2.526179999999999723e-04	4.094880000000000340e-05	2.362135139999999855e-01	4.722552370000000083e-02	3.760352700000000031e-03	4.733805010000000091e-02	6.220896909999999724e-02	1.237231488999999962e-01	2.046313339999999981e-02	5.338015196427878664e+02	4.463247193938142914e+02
-1.711299999999999974e-02	-1.127729999999999982e-01	7.442930000000000379e-03	8.980379999999999830e-04	1.595649999999999944e-04	-2.553890000000000039e-05	2.811524589999999657e-01	4.817315300000000501e-03	-6.520864939999999887e-02	4.014716260000000120e-02	-1.025308357999999975e-01	-2.692829819999999902e-02	7.796568040000000088e-02	5.339063084878289374e+02	4.453576086976248121e+02
-9.429369999999999419e-03	-1.491999999999999924e-02	3.167059999999999320e-02	3.465160000000000007e-04	2.672560000000000040e-04	-1.609760000000000119e-04	1.694968049999999449e-01	3.855110400000000270e-02	4.630996879999999677e-02	4.220675489999999724e-02	-8.929881500000000361e-02	1.033845850000000011e-01	2.509713629999999959e-02	5.335339191758982906e+02	4.462180463786685891e+02
-1.261100000000000068e-02	-5.932969999999999910e-02	-1.510939999999999462e-03	2.034319999999999998e-04	1.631910000000000034e-04	-4.116959999999999966e-05	9.912064000000002373e-02	6.753804509999999928e-02	4.316443290000000071e-02	5.399868199999999577e-03	4.124047559999999973e-02	-1.913660509999999884e-02	-2.243035520000000171e-02	5.324386366005505806e+02	4.455849652235648364e+02
-1.260889999999999928e-02	-3.480660000000000004e-02	1.072180000000000051e-03	-3.758540000000000101e-04	2.828749999999999776e-04	4.074860000000000319e-06	6.431904299999999242e-02	2.840134550000000119e-02	-6.723729759999999556e-02	7.733474710000000363e-02	-1.176370069999999914e-02	4.407190889999999805e-02	-4.900082210000000077e-02	5.314900777330818755e+02	4.456423599436703284e+02
-1.259500000000000029e-02	-3.633219999999999505e-02	9.338279999999999151e-03	-3.702140000000000031e-04	1.631910000000000034e-04	-7.827850000000000617e-05	2.018946799999999514e-02	7.488355019999999584e-02	-9.212196699999999558e-03	3.096124960000000079e-02	4.523307599999999706e-02	1.196856630000000046e-02	8.167993480000000639e-02	5.299163608873591329e+02	4.461771743810176645e+02
-1.767759999999999818e-02	-3.849219999999999725e-02	-4.355590000000000329e-03	1.158860000000000082e-04	1.631910000000000034e-04	-1.579049999999999866e-04	4.922279499999999974e-02	3.599130479999999854e-02	8.096860490000000465e-02	-6.000296310000000077e-02	-5.265046550000000020e-02	-7.070248749999999416e-02	1.582610700000000158e-03	5.304691474087799179e+02	4.446674226947391730e+02
-9.584090000000005174e-03	-1.830340000000000092e-02	-2.392779999999999907e-02	-2.699789999999999981e-04	2.584470000000000278e-04	-9.535530000000000503e-05	7.503805499999999240e-02	5.078125980000000594e-02	-5.282547370000000020e-02	4.040022330000000300e-02	4.466659580000000018e-02	7.981893799999999206e-02	-3.520071009999999750e-02	5.307003205869829117e+02	4.462280952858924934e+02
-1.979739999999999799e-03	-3.847149999999999875e-02	7.373899999999999205e-03	-3.860359999999999746e-04	4.126869999999999605e-04	9.787040000000001082e-05	8.225028500000000631e-02	3.594889689999999915e-02	-3.687339020000000162e-02	5.209023589999999676e-02	-8.047326999999999952e-02	-7.016325069999999886e-02	1.903931169999999867e-02	5.329906984411618396e+02	4.457458443632546050e+02
